sample_id,carcass_id,sequence_project_id,library_prep_batch,pool,date_collected,species,sample_type,max_ct,ct_1,ct_2,ct_3,sample_conc_ng_ul,neb_protocol,fragmentation_incubation,bc_amp_cycles,init_lib_conc,concentration_of_lib_performed,new_lib_conc_ng_ul,amplification_cycles_bait_capture,cap_lib_conc,cap_lib_reamp,polyomics,organism.x,total.x,duplicates,mapped,X,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates,total.y
AN18-447-B,AN18-447,1447,2,NA,18/05/2018,zebra,blood,24,24,23,24,1.5,Chapter 1,8 min,6,52,,,12,8.3,,,anthrax,19550082,1510846,18998952,NA,280.28,373,242,159,100.0,AN18-447-B_S31 ,anthrax,yes,0.971809325403341,0.07728080117515619,1299900241
AN16-132-I,AN16-132,1447,2,NA,21/03/2017,cow,insect,26,26,26,26,4.25,Chapter 1,8 min,6,41.4,,,12,3.06,yes,,anthrax,9065119,1632697,4432180,NA,41.85,47,38,30,98.6,AN16-132-I_S32 ,anthrax,yes,0.4889268414457659,0.1801076191057172,194096392
AN16-90-S,AN16-90,1447,2,NA,17/10/2016,sheep,swab,31,29,30,31,2.15,Chapter 1,8 min,6,43.6,,,12,0.77,yes,,anthrax,6925325,1709826,2764264,NA,15.93,21,16,12,55.3,AN16-90-S_S33 ,anthrax,no,0.3991529639403205,0.24689469447282258,73875153
AN16-144-S,AN16-144,1447,2,NA,18/10/2016,sheep,swab,26,24,25,26,2.72,Chapter 1,8 min,6,35,,,12,2.98,yes,,anthrax,6822094,1464397,6313639,NA,74.73,91,74,58,99.9,AN16-144-S_S40 ,anthrax,yes,0.925469364684802,0.21465506045504504,346568266
AN17-20-S,AN17-20,1447,2,NA,23/02/2017,sheep,swab,28,28,27,26,2.13,Chapter 1,8 min,6,24.2,,,12,1.54,yes,,anthrax,5712816,1549842,3442350,NA,29.36,36,29,23,92.8,AN17-20-S_S41 ,anthrax,yes,0.6025662300343648,0.27129212633489336,136190091
AN17-22-S,AN17-22,1447,2,NA,23/02/2017,sheep,swab,36,35,33,36,3.19,Chapter 1,8 min,6,29.4,,,12,2.7,yes,,anthrax,907623,7601,26313,NA,0.17,1,1,1,0.2,AN17-22-S_S42 ,anthrax,no,0.028991111948463183,0.008374622502955523,782069
not-sequenced,ANTH-2,1447,2,NA,23/11/2016,cow,tissue,23,21,21,23,1.93,Chapter 1,8 min,6,61.8,,,12,14.2,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,ANTH-4,1447,2,NA,23/11/2016,cow,tissue,25,24,25,25,2.58,Chapter 1,8 min,6,35,,,12,2.3,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN16-171-T,AN16-171,1447,2,NA,14/12/2016,sheep,swab,30,30,30,30,2,Chapter 1,8 min,6,8.14,yes,3.6,12,0.36,yes,,anthrax,4668613,147680,182231,NA,0.37,1,1,1,0.1,AN16-171-T_S45 ,anthrax,no,0.03903322035902312,0.031632521264881024,1733387
AN16-145-B,AN16-145,1499,3,1,19/10/2016,sheep,blood,25,25,23,24,1,Chapter 1,8 min,6,12,,,15,66,,,anthrax,15383559,1235115,15249978,NA,221.31,268,214,169,100.0,AN16-145-B_S1 ,anthrax,yes,0.9913166387570003,0.08028798797469429,1026380788
not-sequenced,NOB,not-sequenced,3,NA,27/09/2016,sheep,tissue,21,20,20,21,0.3,Chapter 1,8 min,6,undetectable,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN16-145-S,AN16-145,1499,3,1,19/10/2016,sheep,swab,22,20,19,22,3.5,Chapter 1,8 min,6,37,,,15,66,,,anthrax,32244050,2794894,31281918,NA,421.74,500,403,293,100.0,AN16-145-S_S2 ,anthrax,yes,0.9701609444223043,0.08667937185310158,1955954348
AN16-175-T,AN16-175,1499,3,1,30/04/2017,sheep,tissue,23,23,23,22,4.5,Chapter 1,8 min,6,63,,,15,66,,,anthrax,539623,25083,323916,NA,4.47,7,5,3,0.3,AN16-175-T_S3 ,anthrax,no,0.6002635173074535,0.04648245163753213,20720004
AN17-27-A-T,AN17-27-A,1499,3,2,28/04/2017,sheep,tissue,20,20,20,20,6.2,Chapter 1,8 min,6,23,,,15,36,,,anthrax,8480655,1046964,8056152,NA,110.62,149,99,61,98.6,AN17-27-A-T_S4 ,anthrax,yes,0.9499445502735343,0.12345320025398981,513035877
AN17-42-T,AN17-42,1499,3,2,26/02/2017,sheep,tissue,25,25,25,21,5.2,Chapter 1,8 min,6,58,,,15,36,,,anthrax,1354712,97347,755694,NA,10.07,14,10,7,18.2,AN17-42-T_S5 ,anthrax,no,0.5578263128989778,0.07185807758401785,46693396
AN17-27-A-S,AN17-27-A,1499,3,2,28/04/2017,sheep,swab,25,24,24,25,1.5,Chapter 1,8 min,6,30,,,15,36,,,anthrax,24878232,3363086,24530665,NA,290.41,355,276,210,100.0,AN17-27-A-S_S6 ,anthrax,yes,0.9860292724981422,0.1351818730527153,1346867810
not-sequenced,AN17-33,not-sequenced,3,NA,20/02/2017,sheep,tissue,19,19,18,19,1,Chapter 1,8 min,6,undetectable,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-191,AN17-191,1607,4,NA,21/08/2017,sheep,tissue,25,24,24,25,51,Chapter 2,8 min,6,8.26,,,14,0.48,,,anthrax,7129812,1908307,3604015,NA,25,33,24,17,81.3,AN17-191_S1 ,anthrax,yes,0.5054852778726845,0.26765179783141546,115944323
not-sequenced,AN17-184,not-sequenced,4,NA,19/08/2017,goat,tissue,25,25,24,25,53.5,Chapter 2,8 min,6,0.48,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-184,not-sequenced,4,NA,19/08/2017,goat,tissue,25,25,24,25,53.5,Chapter 2,8 min,6,0.48,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-223,AN17-223,1607,4,NA,26/08/2017,sheep,tissue,22,22,22,22,13.1,Chapter 2,8 min,6,8.87,,,14,0.75,,,anthrax,4204829,463614,3694576,NA,47.09,58,46,35,99.2,AN17-223_S10 ,anthrax,yes,0.8786507132632504,0.11025751582287889,218417580
